DEPARTAMENTO,PROVINCIA,DISTRITO,ANIO,MES,TIPO_PRUEBA,CANTIDAD_PRUEBAS,Departamento_idx,Provincia_idx,Distrito_idx,TipoPrueba_idx,prediction
AMAZONAS,BAGUA,ARAMANGO,2020,4,PR,8,14.0,57.0,300.0,0.0,108.24099844295415
AMAZONAS,BAGUA,ARAMANGO,2020,5,PR,19,14.0,57.0,300.0,0.0,101.57925778694334
AMAZONAS,BAGUA,ARAMANGO,2020,5,PCR,1,14.0,57.0,300.0,2.0,112.0355820346158
AMAZONAS,BAGUA,ARAMANGO,2020,6,PCR,2,14.0,57.0,300.0,2.0,105.37384137859044
AMAZONAS,BAGUA,ARAMANGO,2020,6,PR,187,14.0,57.0,300.0,0.0,94.91751713091799
AMAZONAS,BAGUA,ARAMANGO,2020,7,PCR,2,14.0,57.0,300.0,2.0,98.71210072256508
AMAZONAS,BAGUA,ARAMANGO,2020,7,PR,308,14.0,57.0,300.0,0.0,88.25577647489263
AMAZONAS,BAGUA,ARAMANGO,2020,8,PCR,3,14.0,57.0,300.0,2.0,92.05036006655428
AMAZONAS,BAGUA,ARAMANGO,2020,8,PR,1353,14.0,57.0,300.0,0.0,81.59403581888182
AMAZONAS,BAGUA,ARAMANGO,2020,9,PCR,18,14.0,57.0,300.0,2.0,85.38861941052892
AMAZONAS,BAGUA,ARAMANGO,2020,9,PR,1336,14.0,57.0,300.0,0.0,74.93229516285646
AMAZONAS,BAGUA,ARAMANGO,2020,10,PR,57,14.0,57.0,300.0,0.0,68.2705545068311
AMAZONAS,BAGUA,ARAMANGO,2020,11,PCR,3,14.0,57.0,300.0,2.0,72.06513809849275
AMAZONAS,BAGUA,ARAMANGO,2020,11,PR,25,14.0,57.0,300.0,0.0,61.6088138508203
AMAZONAS,BAGUA,ARAMANGO,2020,12,PR,19,14.0,57.0,300.0,0.0,54.94707319479494
AMAZONAS,BAGUA,ARAMANGO,2021,1,PR,11,14.0,57.0,300.0,0.0,82.73259682639036
AMAZONAS,BAGUA,ARAMANGO,2021,1,PCR,1,14.0,57.0,300.0,2.0,93.18892107406282
AMAZONAS,BAGUA,ARAMANGO,2021,2,AG,30,14.0,57.0,300.0,1.0,81.29901829421578
AMAZONAS,BAGUA,ARAMANGO,2021,2,PCR,1,14.0,57.0,300.0,2.0,86.52718041805201
AMAZONAS,BAGUA,ARAMANGO,2021,2,PR,13,14.0,57.0,300.0,0.0,76.07085617037956
AMAZONAS,BAGUA,ARAMANGO,2021,3,AG,14,14.0,57.0,300.0,1.0,74.63727763819043
AMAZONAS,BAGUA,ARAMANGO,2021,4,AG,53,14.0,57.0,300.0,1.0,67.97553698216507
AMAZONAS,BAGUA,ARAMANGO,2021,4,PR,4,14.0,57.0,300.0,0.0,62.74737485832884
AMAZONAS,BAGUA,ARAMANGO,2021,5,AG,75,14.0,57.0,300.0,1.0,61.31379632615426
AMAZONAS,BAGUA,ARAMANGO,2021,5,PR,7,14.0,57.0,300.0,0.0,56.08563420231803
AMAZONAS,BAGUA,ARAMANGO,2021,6,AG,28,14.0,57.0,300.0,1.0,54.6520556701289
AMAZONAS,BAGUA,ARAMANGO,2021,6,PR,5,14.0,57.0,300.0,0.0,49.423893546292675
AMAZONAS,BAGUA,ARAMANGO,2021,7,PR,29,14.0,57.0,300.0,0.0,42.762152890267316
AMAZONAS,BAGUA,ARAMANGO,2021,7,AG,11,14.0,57.0,300.0,1.0,47.990315014103544
AMAZONAS,BAGUA,ARAMANGO,2021,8,AG,5,14.0,57.0,300.0,1.0,41.32857435809274
AMAZONAS,BAGUA,ARAMANGO,2021,8,PR,3,14.0,57.0,300.0,0.0,36.10041223425651
AMAZONAS,BAGUA,ARAMANGO,2021,9,AG,2,14.0,57.0,300.0,1.0,34.66683370206738
AMAZONAS,BAGUA,ARAMANGO,2021,9,PR,6,14.0,57.0,300.0,0.0,29.43867157823115
AMAZONAS,BAGUA,ARAMANGO,2021,10,AG,5,14.0,57.0,300.0,1.0,28.00509304604202
AMAZONAS,BAGUA,ARAMANGO,2021,10,PR,1,14.0,57.0,300.0,0.0,22.776930922205793
AMAZONAS,BAGUA,ARAMANGO,2021,11,PR,3,14.0,57.0,300.0,0.0,16.115190266194986
AMAZONAS,BAGUA,ARAMANGO,2021,11,AG,3,14.0,57.0,300.0,1.0,21.343352390031214
AMAZONAS,BAGUA,ARAMANGO,2021,12,PR,1,14.0,57.0,300.0,0.0,9.453449610169628
AMAZONAS,BAGUA,ARAMANGO,2021,12,AG,14,14.0,57.0,300.0,1.0,14.681611734005855
AMAZONAS,BAGUA,BAGUA,2020,4,PCR,15,14.0,57.0,135.0,2.0,134.9521349837596
AMAZONAS,BAGUA,BAGUA,2020,4,PR,12,14.0,57.0,135.0,0.0,124.49581073608715
AMAZONAS,BAGUA,BAGUA,2020,5,PCR,72,14.0,57.0,135.0,2.0,128.2903943277488
AMAZONAS,BAGUA,BAGUA,2020,5,PR,69,14.0,57.0,135.0,0.0,117.83407008007634
AMAZONAS,BAGUA,BAGUA,2020,6,PR,110,14.0,57.0,135.0,0.0,111.17232942405099
AMAZONAS,BAGUA,BAGUA,2020,6,PCR,190,14.0,57.0,135.0,2.0,121.62865367172344
AMAZONAS,BAGUA,BAGUA,2020,7,PR,391,14.0,57.0,135.0,0.0,104.51058876802563
AMAZONAS,BAGUA,BAGUA,2020,7,PCR,215,14.0,57.0,135.0,2.0,114.96691301569808
AMAZONAS,BAGUA,BAGUA,2020,8,PR,295,14.0,57.0,135.0,0.0,97.84884811201482
AMAZONAS,BAGUA,BAGUA,2020,8,PCR,108,14.0,57.0,135.0,2.0,108.30517235968728
AMAZONAS,BAGUA,BAGUA,2020,9,PCR,29,14.0,57.0,135.0,2.0,101.64343170366192
AMAZONAS,BAGUA,BAGUA,2020,9,PR,106,14.0,57.0,135.0,0.0,91.18710745598946
AMAZONAS,BAGUA,BAGUA,2020,10,PR,106,14.0,57.0,135.0,0.0,84.5253667999641
AMAZONAS,BAGUA,BAGUA,2020,10,PCR,23,14.0,57.0,135.0,2.0,94.98169104763656
AMAZONAS,BAGUA,BAGUA,2020,11,PCR,6,14.0,57.0,135.0,2.0,88.31995039162575
AMAZONAS,BAGUA,BAGUA,2020,11,PR,29,14.0,57.0,135.0,0.0,77.8636261439533
AMAZONAS,BAGUA,BAGUA,2020,12,PCR,3,14.0,57.0,135.0,2.0,81.6582097356004
AMAZONAS,BAGUA,BAGUA,2020,12,PR,12,14.0,57.0,135.0,0.0,71.20188548792794
AMAZONAS,BAGUA,BAGUA,2021,1,PCR,14,14.0,57.0,135.0,2.0,109.44373336719582
AMAZONAS,BAGUA,BAGUA,2021,1,PR,3,14.0,57.0,135.0,0.0,98.98740911952336
AMAZONAS,BAGUA,BAGUA,2021,1,AG,8,14.0,57.0,135.0,1.0,104.21557124335959
AMAZONAS,BAGUA,BAGUA,2021,2,AG,37,14.0,57.0,135.0,1.0,97.55383058734878
AMAZONAS,BAGUA,BAGUA,2021,2,PCR,14,14.0,57.0,135.0,2.0,102.78199271118501
AMAZONAS,BAGUA,BAGUA,2021,2,PR,13,14.0,57.0,135.0,0.0,92.32566846351256
AMAZONAS,BAGUA,BAGUA,2021,3,PR,2,14.0,57.0,135.0,0.0,85.6639278074872
