DEPARTAMENTO,PROVINCIA,DISTRITO,ANIO,MES,TIPO_PRUEBA,CANTIDAD_PRUEBAS
AMAZONAS,BAGUA,ARAMANGO,2020,4,PR,8
AMAZONAS,BAGUA,ARAMANGO,2020,5,PR,19
AMAZONAS,BAGUA,ARAMANGO,2020,5,PCR,1
AMAZONAS,BAGUA,ARAMANGO,2020,6,PCR,2
AMAZONAS,BAGUA,ARAMANGO,2020,6,PR,187
AMAZONAS,BAGUA,ARAMANGO,2020,7,PCR,2
AMAZONAS,BAGUA,ARAMANGO,2020,7,PR,308
AMAZONAS,BAGUA,ARAMANGO,2020,8,PCR,3
AMAZONAS,BAGUA,ARAMANGO,2020,8,PR,1353
AMAZONAS,BAGUA,ARAMANGO,2020,9,PCR,18
AMAZONAS,BAGUA,ARAMANGO,2020,9,PR,1336
AMAZONAS,BAGUA,ARAMANGO,2020,10,PR,57
AMAZONAS,BAGUA,ARAMANGO,2020,11,PCR,3
AMAZONAS,BAGUA,ARAMANGO,2020,11,PR,25
AMAZONAS,BAGUA,ARAMANGO,2020,12,PR,19
AMAZONAS,BAGUA,ARAMANGO,2021,1,PR,11
AMAZONAS,BAGUA,ARAMANGO,2021,1,PCR,1
AMAZONAS,BAGUA,ARAMANGO,2021,2,AG,30
AMAZONAS,BAGUA,ARAMANGO,2021,2,PCR,1
AMAZONAS,BAGUA,ARAMANGO,2021,2,PR,13
AMAZONAS,BAGUA,ARAMANGO,2021,3,AG,14
AMAZONAS,BAGUA,ARAMANGO,2021,4,AG,53
AMAZONAS,BAGUA,ARAMANGO,2021,4,PR,4
AMAZONAS,BAGUA,ARAMANGO,2021,5,AG,75
AMAZONAS,BAGUA,ARAMANGO,2021,5,PR,7
AMAZONAS,BAGUA,ARAMANGO,2021,6,AG,28
AMAZONAS,BAGUA,ARAMANGO,2021,6,PR,5
AMAZONAS,BAGUA,ARAMANGO,2021,7,PR,29
AMAZONAS,BAGUA,ARAMANGO,2021,7,AG,11
AMAZONAS,BAGUA,ARAMANGO,2021,8,AG,5
AMAZONAS,BAGUA,ARAMANGO,2021,8,PR,3
AMAZONAS,BAGUA,ARAMANGO,2021,9,AG,2
AMAZONAS,BAGUA,ARAMANGO,2021,9,PR,6
AMAZONAS,BAGUA,ARAMANGO,2021,10,AG,5
AMAZONAS,BAGUA,ARAMANGO,2021,10,PR,1
AMAZONAS,BAGUA,ARAMANGO,2021,11,PR,3
AMAZONAS,BAGUA,ARAMANGO,2021,11,AG,3
AMAZONAS,BAGUA,ARAMANGO,2021,12,PR,1
AMAZONAS,BAGUA,ARAMANGO,2021,12,AG,14
AMAZONAS,BAGUA,BAGUA,2020,4,PCR,15
AMAZONAS,BAGUA,BAGUA,2020,4,PR,12
AMAZONAS,BAGUA,BAGUA,2020,5,PCR,72
AMAZONAS,BAGUA,BAGUA,2020,5,PR,69
AMAZONAS,BAGUA,BAGUA,2020,6,PR,110
AMAZONAS,BAGUA,BAGUA,2020,6,PCR,190
AMAZONAS,BAGUA,BAGUA,2020,7,PR,391
AMAZONAS,BAGUA,BAGUA,2020,7,PCR,215
AMAZONAS,BAGUA,BAGUA,2020,8,PR,295
AMAZONAS,BAGUA,BAGUA,2020,8,PCR,108
AMAZONAS,BAGUA,BAGUA,2020,9,PCR,29
AMAZONAS,BAGUA,BAGUA,2020,9,PR,106
AMAZONAS,BAGUA,BAGUA,2020,10,PR,106
AMAZONAS,BAGUA,BAGUA,2020,10,PCR,23
AMAZONAS,BAGUA,BAGUA,2020,11,PCR,6
AMAZONAS,BAGUA,BAGUA,2020,11,PR,29
AMAZONAS,BAGUA,BAGUA,2020,12,PCR,3
AMAZONAS,BAGUA,BAGUA,2020,12,PR,12
AMAZONAS,BAGUA,BAGUA,2021,1,PCR,14
AMAZONAS,BAGUA,BAGUA,2021,1,PR,3
AMAZONAS,BAGUA,BAGUA,2021,1,AG,8
AMAZONAS,BAGUA,BAGUA,2021,2,AG,37
AMAZONAS,BAGUA,BAGUA,2021,2,PCR,14
AMAZONAS,BAGUA,BAGUA,2021,2,PR,13
AMAZONAS,BAGUA,BAGUA,2021,3,PR,2
AMAZONAS,BAGUA,BAGUA,2021,3,AG,67
AMAZONAS,BAGUA,BAGUA,2021,3,PCR,83
AMAZONAS,BAGUA,BAGUA,2021,4,PR,8
AMAZONAS,BAGUA,BAGUA,2021,4,PCR,9
AMAZONAS,BAGUA,BAGUA,2021,4,AG,262
AMAZONAS,BAGUA,BAGUA,2021,5,PCR,11
AMAZONAS,BAGUA,BAGUA,2021,5,PR,14
AMAZONAS,BAGUA,BAGUA,2021,5,AG,268
AMAZONAS,BAGUA,BAGUA,2021,6,AG,137
AMAZONAS,BAGUA,BAGUA,2021,6,PR,16
AMAZONAS,BAGUA,BAGUA,2021,6,PCR,1
AMAZONAS,BAGUA,BAGUA,2021,7,PR,5
AMAZONAS,BAGUA,BAGUA,2021,7,AG,68
AMAZONAS,BAGUA,BAGUA,2021,8,PCR,2
AMAZONAS,BAGUA,BAGUA,2021,8,PR,13
AMAZONAS,BAGUA,BAGUA,2021,8,AG,22
AMAZONAS,BAGUA,BAGUA,2021,9,AG,26
AMAZONAS,BAGUA,BAGUA,2021,9,PR,8
AMAZONAS,BAGUA,BAGUA,2021,9,PCR,36
AMAZONAS,BAGUA,BAGUA,2021,10,AG,35
AMAZONAS,BAGUA,BAGUA,2021,10,PCR,66
AMAZONAS,BAGUA,BAGUA,2021,11,PCR,69
AMAZONAS,BAGUA,BAGUA,2021,11,AG,47
AMAZONAS,BAGUA,BAGUA,2021,11,PR,1
AMAZONAS,BAGUA,BAGUA,2021,12,AG,98
AMAZONAS,BAGUA,BAGUA,2021,12,PR,3
AMAZONAS,BAGUA,BAGUA,2021,12,PCR,128
AMAZONAS,BAGUA,COPALLIN,2020,4,PCR,1
AMAZONAS,BAGUA,COPALLIN,2020,5,PR,2
AMAZONAS,BAGUA,COPALLIN,2020,6,PR,10
AMAZONAS,BAGUA,COPALLIN,2020,6,PCR,3
AMAZONAS,BAGUA,COPALLIN,2020,7,PCR,8
AMAZONAS,BAGUA,COPALLIN,2020,7,PR,13
AMAZONAS,BAGUA,COPALLIN,2020,8,PR,12
AMAZONAS,BAGUA,COPALLIN,2020,8,PCR,9
AMAZONAS,BAGUA,COPALLIN,2020,9,PR,12
AMAZONAS,BAGUA,COPALLIN,2020,9,PCR,2
AMAZONAS,BAGUA,COPALLIN,2020,10,PCR,9
AMAZONAS,BAGUA,COPALLIN,2020,10,PR,2
AMAZONAS,BAGUA,COPALLIN,2020,11,PCR,7
AMAZONAS,BAGUA,COPALLIN,2020,12,PR,4
AMAZONAS,BAGUA,COPALLIN,2021,1,PR,16
AMAZONAS,BAGUA,COPALLIN,2021,1,PCR,7
AMAZONAS,BAGUA,COPALLIN,2021,2,PR,3
AMAZONAS,BAGUA,COPALLIN,2021,2,AG,5
AMAZONAS,BAGUA,COPALLIN,2021,3,AG,8
AMAZONAS,BAGUA,COPALLIN,2021,4,AG,97
AMAZONAS,BAGUA,COPALLIN,2021,4,PCR,1
AMAZONAS,BAGUA,COPALLIN,2021,5,AG,21
AMAZONAS,BAGUA,COPALLIN,2021,6,AG,26
AMAZONAS,BAGUA,COPALLIN,2021,6,PR,3
AMAZONAS,BAGUA,COPALLIN,2021,7,AG,3
AMAZONAS,BAGUA,COPALLIN,2021,7,PR,1
AMAZONAS,BAGUA,COPALLIN,2021,8,PR,1
AMAZONAS,BAGUA,COPALLIN,2021,8,AG,1
AMAZONAS,BAGUA,COPALLIN,2021,9,PCR,2
AMAZONAS,BAGUA,COPALLIN,2021,9,AG,7
AMAZONAS,BAGUA,COPALLIN,2021,10,AG,2
AMAZONAS,BAGUA,COPALLIN,2021,11,AG,2
AMAZONAS,BAGUA,COPALLIN,2021,11,PCR,3
AMAZONAS,BAGUA,COPALLIN,2021,12,AG,14
AMAZONAS,BAGUA,EL PARCO,2020,4,PR,1
AMAZONAS,BAGUA,EL PARCO,2020,6,PR,7
AMAZONAS,BAGUA,EL PARCO,2020,7,PCR,1
AMAZONAS,BAGUA,EL PARCO,2020,7,PR,21
AMAZONAS,BAGUA,EL PARCO,2020,8,PR,22
AMAZONAS,BAGUA,EL PARCO,2020,8,PCR,3
AMAZONAS,BAGUA,EL PARCO,2020,9,PCR,3
AMAZONAS,BAGUA,EL PARCO,2020,9,PR,10
AMAZONAS,BAGUA,EL PARCO,2020,10,PR,5
AMAZONAS,BAGUA,EL PARCO,2020,11,PR,1
AMAZONAS,BAGUA,EL PARCO,2020,12,PR,4
AMAZONAS,BAGUA,EL PARCO,2021,1,PR,3
AMAZONAS,BAGUA,EL PARCO,2021,2,AG,1
AMAZONAS,BAGUA,EL PARCO,2021,3,PR,3
AMAZONAS,BAGUA,EL PARCO,2021,3,AG,4
AMAZONAS,BAGUA,EL PARCO,2021,4,AG,9
AMAZONAS,BAGUA,EL PARCO,2021,5,AG,11
AMAZONAS,BAGUA,EL PARCO,2021,6,AG,6
AMAZONAS,BAGUA,EL PARCO,2021,6,PR,1
AMAZONAS,BAGUA,EL PARCO,2021,7,AG,3
AMAZONAS,BAGUA,EL PARCO,2021,8,PR,1
